WKT;id;nom;type;uri
"MULTIPOINT ((902766.9 6443247.4))";PAIHYDRO0000000007458546;Cascade de la Fauge;Cascade;http://purl.org/choucas.ign.fr/oor#cascade
"MULTIPOINT ((901719.8 6436083.6))";PAIHYDRO0000002209679457;Source de Fontbessou;Source;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((901287.0 6437931.2))";PAIHYDRO0000000332220491;Fontaine de l'Ours;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((902961.2 6443530.5))";PAIHYDRO0000000007458547;Fontaine Magdelen;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((904216.3 6443176.2))";PAIHYDRO0000000007458543;Fontaine de Pissavache;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((901941.3 6443672.5))";PAIHYDRO0000000007458548;Fontaine Aymard;Source captée;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((901042.8 6443016.7))";PAIHYDRO0000000007458549;Fontaine du Renard;Source;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((903652.3 6442337.7))";PAIHYDRO0000000007458564;Fontaine Grand Gour;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((900157.2 6442175.9))";PAIHYDRO0000000007458565;Font de la Maie;Résurgence;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((902234.4 6444526.0))";PAIHYDRO0000000007458545;Œil de la Duis;Résurgence;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((901943.3 6440288.3))";PAIHYDRO0000000007458577;Fontaine du Sac;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((899060.6 6438307.7))";PAIHYDRO0000000007458598;Fontaine de Giraud-Bernard;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((900933.6 6436381.7))";PAIHYDRO0000000007458618;Fontaine du Coin;Source;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((897620.5 6436456.1))";PAIHYDRO0000000007458619;Puits des Ravières;Point d'eau;http
"MULTIPOINT ((901802.8 6435840.4))";PAIHYDRO0000000007458649;Fontaine Barnière;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((902069.1 6435763.2))";PAIHYDRO0000000007458650;Fontaine du Mas;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((904632.7 6438027.2))";PAIHYDRO0000000332220492;Source de la Combre de Lynx;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((904544.0 6444226.9))";PAIHYDRO0000000007458542;Fontaine du Chaulange;Fontaine;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((900944.9 6430921.7))";PAIHYDRO0000000007458704;Fontaine de Fontagnon;Source;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((902626.1 6436514.0))";PAIHYDRO0000000007458617;Fontaine des Sarrasins;Source;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((901247.2 6434348.7))";COURDEAU0000002215478812;Ruisseau des Combes;cours d'eau;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
"MULTIPOINT ((901385.8 6431436.4))";COURDEAU0000002000802673;Ruisseau de Berrieves;cours d'eau;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
"MULTIPOINT ((899998.8 6433379.5))";COURDEAU0000002000802672;Ruisseau Sec;cours d'eau;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
"MULTIPOINT ((900620.7 6432850.7))";COURDEAU0000002000802671;Ruisseau Raffin;cours d'eau;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
"MULTIPOINT ((900934.9 6436521.5))";COURDEAU0000002000802668;Ruisseau Munier;cours d'eau;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
"MULTIPOINT ((900327.4 6444315.4))";COURDEAU0000002000802661;Ruisseau de Corrençon;cours d'eau;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
