WKT;id;nom;type;uri
"MULTIPOINT ((901742.484313376 6432442.4406924))";"112467562";Route des Tours du Pleynet;highway#tertiary;http
"MULTIPOINT ((899740.861612679 6438919.09664005))";"114310062";Rochers de Combeauvieux;leisure#sports_centre;http://purl.org/choucas.ign.fr/oor#complexe_sportif
"MULTIPOINT ((899313.286932765 6434587.37054023))";"114600224";;natural#scree;http://purl.org/choucas.ign.fr/oor#chaos
"MULTIPOINT ((899567.746107129 6435000.6293272))";"114600225";;natural#scree;http://purl.org/choucas.ign.fr/oor#chaos
"MULTIPOINT ((899034.865091053 6433869.43200947))";"114600226";;natural#scree;http://purl.org/choucas.ign.fr/oor#chaos
"MULTIPOINT ((899609.997248706 6435693.44558961))";"114600227";;natural#scree;http://purl.org/choucas.ign.fr/oor#chaos
"MULTIPOINT ((899094.717819255 6434070.41931012))";"114600228";;natural#scree;http://purl.org/choucas.ign.fr/oor#chaos
"MULTIPOINT ((899487.0865439 6434715.1182931))";"114600229";;natural#scree;http://purl.org/choucas.ign.fr/oor#chaos
"MULTIPOINT ((899881.734354664 6435629.02649468))";"114600230";;natural#cliff;http://purl.org/choucas.ign.fr/oor#falaise
"MULTIPOINT ((899626.583875407 6434942.68885746))";"114600231";;natural#scree;http://purl.org/choucas.ign.fr/oor#chaos
"MULTIPOINT ((899496.975186171 6434876.04059498))";"114600232";;natural#scree;http://purl.org/choucas.ign.fr/oor#chaos
"MULTIPOINT ((899083.792838283 6433746.32021209))";"114600233";;natural#scree;http://purl.org/choucas.ign.fr/oor#chaos
"MULTIPOINT ((904001.005316954 6433604.79118647))";"1153335949";Col de Soliet;information#guidepost;http://purl.org/choucas.ign.fr/oor#panneau
"MULTIPOINT ((899076.420788222 6432723.53769421))";"1174735492";Source du Bénitier;natural#spring;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((902931.862832158 6443753.99891273))";"118381879";GTV;highway#track;http
"MULTIPOINT ((902180.115595682 6444017.77632235))";"118422087";Chemin de Villard-de-Lans au Col Vert;highway#track;http
