WKT;id;nom;type;uri
"MULTIPOINT ((903511.073655813 6438388.22070965))";"1995";Pas de l'Oeille;passage délicat;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((898902.049652788 6431069.05425216))";"5925";Pas de l'Etoupe;passage délicat;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((899150.987527905 6435650.11579638))";"457";Cabane du Serre du Play;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((901319.345466135 6438305.45367172))";"6563";Abri de l'Ourson;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((899029.440155967 6431905.84204149))";"1790";Pas Morta;passage délicat;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((900121.123118206 6436963.66063743))";"1904";Bergerie Combeauvieux;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((903704.108222137 6442621.68016508))";"2578";Fontaine de Roybon;point d'eau;http
"MULTIPOINT ((902000.166365995 6437245.49527183))";"597";La Grande Moucherolle;sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((897603.480789011 6436557.51268943))";"1832";Puits des Ravières;point d'eau;http
"MULTIPOINT ((901291.101074704 6437938.13306437))";"3031";Fontaine de l'Ours;point d'eau;http
"MULTIPOINT ((900704.303603488 6436214.54307496))";"1996";Pas de la Balme;passage délicat;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((904718.418900957 6441811.26547624))";"74";Baraque du Col Vert;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((903700.335893245 6437687.66941487))";"32";Baraque des Clos;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((901529.106390744 6435576.73553331))";"5666";Cabane forestière de Font Bessou;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((904415.174049715 6442556.13575662))";"1994";Col Vert;passage délicat;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((902494.663603152 6438413.57540709))";"3127";Refuge des Crêtes;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((898285.256510804 6433223.33545437))";"4155";Fontaine Gravianelle;point d'eau;http
"MULTIPOINT ((897797.269249045 6438049.35890163))";"3972";Abri du champ de la Bataille;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((901314.96796751 6438247.82686835))";"70";Abri de l'Ours;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((898248.853944473 6439311.62752557))";"1750";Point d'eau du parking du Golf de Correncon;point d'eau;http
"MULTIPOINT ((899192.586574945 6433537.90035434))";"1997";Pas Ernadant;passage délicat;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((903904.324306557 6443097.18703215))";"2248";Abri de la Chourelle;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((900045.307672055 6435891.05860797))";"2143";Tète des Chaudières;sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((904499.505754094 6437524.989787))";"7059";Cabane de l'Enclos;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((901150.765634652 6436842.36572642))";"1903";Refuge du Grand Couloir (Pte Moucherolle);cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((897533.305383537 6434521.7660815))";"1179";Fontaine de Carrette;point d'eau;http
"MULTIPOINT ((902837.943968889 6443192.29153493))";"2748";Cascade de la Fauge;point d'eau;http
"MULTIPOINT ((902720.866994291 6441856.11230525))";"38";Abri de la Fauge;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((899493.992119534 6433043.05887635))";"606";Rochers du Playnet;sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((896995.971465844 6435327.02330429))";"2065";Grotte Barnier;point d'eau;http
"MULTIPOINT ((902647.006794301 6436386.44065335))";"1965";Fontaine des Sarrazins;point d'eau;http
"MULTIPOINT ((899285.76815206 6430627.23639766))";"142";Abri de la Peyrouse;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((898236.259550995 6439212.32854448))";"133";Refuge des Hauts Plateaux;gîte d'étape;http://purl.org/choucas.ign.fr/oor#bâtiment_d'hébergement
"MULTIPOINT ((901749.525973804 6436101.67810193))";"3831";Fontaine Barnière;point d'eau;http
"MULTIPOINT ((897547.246659086 6434827.79260849))";"104";Cabane de Carrette;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((903598.370811519 6436130.81145983))";"33";Auberge-refuge La Soldanelle;gîte d'étape;http://purl.org/choucas.ign.fr/oor#bâtiment_d'hébergement
"MULTIPOINT ((902967.856462602 6443531.01287233))";"2579";Fontaine Magdelen;point d'eau;http
"MULTIPOINT ((903602.448383076 6442647.23985232))";"39";Cabane des Clots (ou de Roybon);cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((902880.741619076 6443618.17619641))";"2580";Abri des Plâtres;cabane non gardée;http://purl.org/choucas.ign.fr/oor#cabane
"MULTIPOINT ((904614.661679257 6443673.93621185))";"1993";Roc Cornafion;sommet;http://purl.org/choucas.ign.fr/oor#sommet
